Company name,Segment,Printer manufacturer,Printer model,Number of printers,Count type,Process,Material type,Material format,Country,Update year
Materialise,Printing services,Materialise,,15,Estimate,VPP,Polymer,,Belgium,2024
Materialise,Printing services,EOS,,14,Estimate,PBF-LB,Polymer,,Belgium,2024
Materialise,Printing services,3D Systems,,13,Estimate,PBF-LB,Polymer,,Belgium,2024
Materialise,Printing services,EOS,,12,Estimate,PBF-LB,Polymer,,Belgium,2024
Materialise,Printing services,HP,Metaljet,12,Estimate,BJT,Metal,,Belgium,2024
Materialise,Printing services,EOS,,9,Estimate,PBF-LB,Polymer,,Belgium,2024
Materialise,Printing services,Ricoh,,8,Estimate,PBF-LB,Polymer,,Belgium,2024
Materialise,Printing services,Sindoh,,8,Estimate,PBF-LB,Polymer,,Belgium,2024
Materialise,Printing services,Colibrium Additive,,6,Estimate,PBF-LB,Metal,,Belgium,2024
Materialise,Printing services,EOS,,6,Estimate,PBF-LB,Metal,,Belgium,2024
Materialise,Printing services,Asiga,,5,Estimate,VPP,Polymer,,Belgium,2024
Materialise,Printing services,Nikon SLM,,5,Estimate,PBF-LB,Metal,,Belgium,2024
Materialise,Printing services,Stratasys,,5,Estimate,VPP,Polymer,,Belgium,2024
Materialise,Printing services,ExOne,,4,Estimate,BJT,Sand,,Belgium,2024
Materialise,Printing services,Stratasys,,4,Estimate,MJT,Polymer,,Belgium,2024
Materialise,Printing services,Nikon SLM,,3,Estimate,PBF-LB,Metal,,Belgium,2024
Materialise,Printing services,Stratasys,,2,Estimate,VPP,Polymer,,Belgium,2024
Materialise,Printing services,Stratasys,,2,Estimate,MEX,Polymer,,Belgium,2024
Materialise,Printing services,3D Systems,,4,Actual,PBF,Polymer,,Belgium,2023
Materialise,Printing services,Colibrium Additive,,8,Actual,PBF-LB,Metal,,Belgium,2023
Materialise,Printing services,Curtain Coat,,15,Actual,VPP,Polymer,,Belgium,2023
Materialise,Printing services,EOS,,8,Actual,PBF-LB,Metal,,Belgium,2023
Materialise,Printing services,EOS,,49,Actual,PBF-LB,Polymer,,Belgium,2023
Materialise,Printing services,ExOne,,4,Actual,BJT,,,Belgium,2023
Materialise,Printing services,HP,,12,Actual,BJT,,,Belgium,2023
Materialise,Printing services,Nikon SLM,,8,Actual,PBF-LB,Metal,,Belgium,2023
Materialise,Printing services,Stratasys,Origin,1,Actual,VPP,,,Belgium,2023
Materialise,Printing services,Raplas,,2,Actual,VPP,,,Belgium,2023
Materialise,Printing services,Ricoh,,2,Actual,PBF,Polymer,,Belgium,2023
Materialise,Printing services,S100,,4,Actual,PBF,Polymer,,Belgium,2023
Materialise,Printing services,Stratasys,,34,Actual,MEX,,,Belgium,2023
Materialise,Printing services,Stratasys,,2,Actual,VPP,,,Belgium,2023
Materialise,Printing services,Stratasys,,4,Actual,MJT,,,Belgium,2023
Materialise,Printing services,Uniontech,,2,Actual,VPP,,,Belgium,2023
Materialise,Printing services,3D Systems,,4,Actual,PBF,Polymer,,Belgium,2022
Materialise,Printing services,3D Systems,,1,Actual,PBF,Polymer,,Belgium,2022
Materialise,Printing services,3D Systems,,34,Actual,VPP,Polymer,,Belgium,2022
Materialise,Printing services,3D Systems,,1,Actual,VPP,Polymer,,Belgium,2022
Materialise,Printing services,Colibrium Additive,Concept Laser,8,Actual,PBF-LB,Metal,,Belgium,2022
Materialise,Printing services,Colibrium Additive,Concept Laser,2,Actual,PBF-LB,Metal,,Belgium,2022
Materialise,Printing services,Curtain Coat,,17,Actual,VPP,Polymer,,Belgium,2022
Materialise,Printing services,EOS,,8,Actual,PBF-LB,Metal,,Belgium,2022
Materialise,Printing services,EOS,,47,Actual,PBF,Polymer,,Belgium,2022
Materialise,Printing services,EOS,,2,Actual,PBF,Polymer,,Belgium,2022
Materialise,Printing services,ExOne,,4,Actual,BJT,,,Belgium,2022
Materialise,Printing services,HP,MJF,12,Actual,BJT,Polymer,,Belgium,2022
Materialise,Printing services,HP ,MJF,1,Actual,BJT,Polymer,,Belgium,2022
Materialise,Printing services,Nikon SLM,,4,Actual,PBF,Metal,,Belgium,2022
Materialise,Printing services,Raplas (vat photopolymerization),,3,Actual,,,,Belgium,2022
Materialise,Printing services,Raplas (vat photopolymerization),,1,Actual,,,,Belgium,2022
Materialise,Printing services,Rioch Laser Sintering (polymer),,2,Actual,,,,Belgium,2022
Materialise,Printing services,Sindoh Laser Sintering,,4,Actual,,,,Belgium,2022
Materialise,Printing services,Sindoh Laser Sintering,,1,Actual,,,,Belgium,2022
Materialise,Printing services,Stratasys,,34,Actual,MEX,,,Belgium,2022
Materialise,Printing services,Stratasys,,4,Actual,MJT,,,Canada,2022
Materialise,Printing services,Stratasys SLA (RPS),,2,Actual,,,,Canada,2022
Materialise,Printing services,Stratasys SLA (RPS),,1,Actual,,,,Canada,2022
Materialise,Printing services,Uniontech,,2,Actual,VPP,,,Canada,2022
MatterThings Inc.,Printing services,Sintratec,,1,Minimum,PBF-LB,Polymer,,United States,2025
MatterThings Inc.,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
MatterThings Inc.,Printing services,,,1,Minimum,MJT,Polymer,,United States,2025
MatterThings Inc.,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Met-L-Flo,Printing services,3D Systems,,1,Actual,PBF,Polymer,,United States,2023
Met-L-Flo,Printing services,3D Systems,,4,Actual,VPP,Polymer,,United States,2023
Met-L-Flo,Printing services,Axtra3D,,1,Actual,,Polymer,,United States,2023
Met-L-Flo,Printing services,HP,,1,Actual,PBF-IR,Polymer,,United States,2023
Met-L-Flo,Printing services,Stratasys,,4,Actual,MEX,Polymer,,United States,2023
Met-L-Flo,Printing services,3D Systems,,1,Actual,MJT,Polymer,,United States,2022
Met-L-Flo,Printing services,3D Systems,,1,Actual,PBF,Polymer,,United States,2022
Met-L-Flo,Printing services,3D Systems,,5,Actual,VPP,Polymer,,United States,2022
Met-L-Flo,Printing services,HP ,MJF,1,Actual,PBF-IR,Polymer,,United States,2022
MIMO Technik,Printing services,Nikon SLM,SLM 500 Quad,6,Actual,PBF-LB,Metal,,United States,2025
MIMO Technik,Printing services,Nikon SLM,SLM 280 Twin,4,Actual,PBF-LB,Metal,,United States,2025
MIMO Technik,Printing services,Nikon SLM,SLM 125 HL SMT 700w,3,Actual,PBF-LB,Metal,,United States,2025
Moog,Printing services,EOS,M290,2,Actual,PBF-LB,Metal,,United States,2025
Moog,Printing services,Renishaw,AM500,2,Actual,PBF-LB,Metal,,United States,2025
Moog,Printing services,Nikon SLM,SLM 280,1,Actual,PBF-LB,Metal,,United States,2025
MTek3D,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
MTek3D,Printing services,,,1,Minimum,MJT,Polymer,,United States,2025
Northwest Rapid Manufacturing,Printing services,EOS,P390,1,Actual,PBF-LB,Polymer,,United States,2025
Northwest Rapid Manufacturing,Printing services,EOS,P730,1,Actual,PBF-LB,Polymer,,United States,2025
Northwest Rapid Manufacturing,Printing services,EOS,P760,1,Actual,PBF-LB,Polymer,,United States,2025
Nota3D,Printing services,3D Systems,DMP Flex 200,1,Minimum,PBF-LB,Metal,,United States,2025
Nota3D,Printing services,3D Systems,,1,Minimum,VPP,,,United States,2025
Nota3D,Printing services,3D Systems,,1,Minimum,PBF-LB,Polymer,,Canada,2025
Nota3D,Printing services,Markforged,,1,Minimum,MEX,,,Canada,2025
Nota3D,Printing services,3D Systems,,1,Minimum,MJT,,,Canada,2025
Nota3D,Printing services,HPS,Lumia X1,1,Minimum,VPP,Polymer,,Canada,2025
Objex Unlimited Inc.,Printing services,,,13,Minimum,,,,Canada,2024
Objex Unlimited Inc.,Printing services,3D Systems,Projet 660,8,Actual,VPP,Polymer,,Canada,2024
Objex Unlimited Inc.,Printing services,Mimaki,3DUJ553,4,Actual,MJT,Polymer,,Canada,2024
Objex Unlimited Inc.,Printing services,3D Systems,Titan,1,Actual,MEX,Polymer,,Canada,2024
Objex Unlimited Inc.,Printing services,3D Systems,,1,Minimum,PBF-LB,Polymer,,Canada,2024
Objex Unlimited Inc.,Printing services,Stratasys,,1,Minimum,MEX,Polymer,,Canada,2024
Objex Unlimited Inc.,Printing services,,,13,Minimum,,,,Canada,2023
Objex Unlimited Inc.,Printing services,3D Systems,Projet 660,8,Actual,VPP,Polymer,,United States,2023
Objex Unlimited Inc.,Printing services,Mimaki,3DUJ553,2,Actual,MJT,Polymer,,United States,2023
Objex Unlimited Inc.,Printing services,3D Systems,,1,Minimum,PBF-LB,Polymer,,United States,2023
Objex Unlimited Inc.,Printing services,Stratasys,,1,Minimum,MEX,Polymer,,United States,2023
Optisys,Printing services,Nikon SLM,SLM 280,1,Minimum,PBF-LB,Metal,,United States,2025
Optisys,Printing services,Nikon SLM,SLM 500,1,Minimum,PBF-LB,Metal,,United States,2025
PaliProto 3D,Printing services,Zortrax,"M200, M200+",1,Minimum,MEX,Polymer,,United States,2025
PaliProto 3D,Printing services,Zortrax,"M300, M300+",1,Minimum,MEX,Polymer,,United States,2025
PaliProto 3D,Printing services,Zortrax,Inkspire,1,Minimum,VPP,Polymer,,United States,2025
PaliProto 3D,Printing services,Markforged,X7,1,Minimum,MEX,Polymer,,United States,2025
PaliProto 3D,Printing services,Felix,Tec 1.4 L,1,Minimum,MEX,Polymer,,United States,2025
PaliProto 3D,Printing services,Nexa3D,NXE 400,1,Minimum,VPP,Polymer,,United States,2025
PaliProto 3D,Printing services,EnvisionTEC,Micro Plus CDLM,1,Minimum,VPP,Polymer,,United States,2025
PaliProto 3D,Printing services,EnvisionTEC,ULTRA 3SP HD,1,Minimum,VPP,Polymer,,United States,2025
PaliProto 3D,Printing services,EnvisionTEC,VECTOR HD 3SP,1,Minimum,VPP,Polymer,,United States,2025
PaliProto 3D,Printing services,Anycubic,Photon Mono,1,Minimum,VPP,Polymer,,United States,2025
PaliProto 3D,Printing services,Ender,Pro,1,Minimum,MEX,Polymer,,United States,2025
PaliProto 3D,Printing services,3D Systems,ProJet MJP 2500 Plus,1,Minimum,MJT,Polymer,,United States,2025
PaliProto 3D,Printing services,3D Systems,CJP 660Pro,1,Minimum,MJT,Polymer,,United States,2025
Panashape,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
Panashape,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,United States,2025
Panashape,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Paradigm Manufacturing,Printing services,Elegoo,,1,Minimum,MEX,Polymer,,United States,2025
Paradigm Manufacturing,Printing services,BigRep,,1,Minimum,MEX,Polymer,,United States,2025
Paradigm Manufacturing,Printing services,Elegoo,,1,Minimum,VPP,Polymer,,United States,2025
Paradigm Manufacturing,Printing services,HP,,1,Actual,PBF-IR,Polymer,,United States,2025
Parmatech,Printing services,,,1,Minimum,BJT,Metal,,United States,2025
Part Snap,Printing services,Stratasys,Fortus 400mc,1,Actual,MEX,Polymer,,United States,2025
Part Snap,Printing services,Stratasys,Objet 30,1,Minimum,MJT,Polymer,,United States,2025
Part Snap,Printing services,MakerGear,M2,1,Minimum,MEX,Polymer,,United States,2025
Part Snap,Printing services,Ultimaker,2,1,Minimum,MEX,Polymer,,United States,2025
Part Snap,Printing services,Stratasys,Dimension uPrint SE Plus,1,Minimum,MEX,Polymer,,United states,2025
Penn United Technologies Inc.,Printing services,EOS,M290,3,Actual,PBF-LB,Metal,,United states,2025
Penn United Technologies Inc.,Printing services,EOS ,M400-4,1,Actual,PBF-LB,Metal,,United States,2025
Penn United Technologies Inc.,Printing services,ExOne,M-Flex,1,Actual,BJT,Metal,,United States,2025
Polyhistor International,Printing services,Stratasys,Eden260V,1,Minimum,MJT,Polymer,,United States,2025
Polyhistor International,Printing services,Stratasys,Fortus 400mc,1,Minimum,MEX,Polymer,,United States,2025
Ponoko Inc.,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
Ponoko Inc.,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Ponoko Inc.,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Ponoko Inc.,Printing services,Stratasys,,1,Minimum,MJT,Polymer,,United States,2025
Ponoko Inc.,Printing services,Carbon,,1,Minimum,VPP,Polymer,,United States,2025
Ponoko Inc.,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Ponoko Inc.,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,United States,2025
PPG industries,Printing services,Formlabs,Form 2,2,Actual,VPP,Polymer,,United States,2024
PPG industries,Printing services,Anucubic,M5S,1,Actual,VPP,Polymer,,United States,2024
PPG industries,Printing services,Anycubic,D2,1,Actual,VPP,Polymer,,United States,2024
PPG industries,Printing services,Nexa3D,XiP,1,Actual,VPP,Polymer,,Canada,2024
PPG industries,Printing services,Formlabs,Form 2,2,Actual,VPP,Polymer,,Canada,2023
PPG industries,Printing services,Anycubic,D2,1,Actual,VPP,Polymer,,Canada,2023
PPG industries,Printing services,Nexa3D,XiP,1,Actual,VPP,Polymer,,Canada,2023
Precision ADM,Printing services,EOS,,4,Minimum,PBF-LB,Metal,,United States,2025
Precision ADM,Printing services,Formlabs,,100,Minimum,VPP,Polymer,,United States,2025
Precision ADM,Printing services,EOS,,4,Minimum,PBF-LB,Metal,,United States,2025
Precision ADM,Printing services,Formlabs,,100,Minimum,VPP,Polymer,,United States,2025
Prg Prototyping,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
Prg Prototyping,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Prg Prototyping,Printing services,,,1,Minimum,MJT,Polymer,,United States,2025
Primary Manufacturing,Printing services,Carbon,M1,1,Minimum,VPP,Polymer,,United States,2025
Primary Manufacturing,Printing services,Carbon,M2,1,Minimum,VPP,Polymer,,United States,2025
Primary Manufacturing,Printing services,3D Systems,Figure 4,1,Minimum,VPP,Polymer,,United States,2025
Primary Manufacturing,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,United States,2025
Primary Manufacturing,Printing services,Ultimaker,S3,1,Minimum,MEX,Polymer,,United States,2025
Primary Manufacturing,Printing services,Ultimaker,S5,1,Minimum,MEX,Polymer,,Canada,2025
Primary Manufacturing,Printing services,,,1,Minimum,PBF-LB,Polymer,,Canada,2025
Printed Solid (acquired by Prusa),Printing services,,,20,Actual,MEX,Polymer,,Canada,2025
Printerior,Printing services,,,30,Actual,MEX,Polymer,,Canada,2025
Proto 3000,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,Canada,2025
Proto 3000,Printing services,,,1,Minimum,VPP,Polymer,,Canada,2025
Proto 3000,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Proto 3000,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
Proto 3000,Printing services,,,1,Minimum,BJT,Metal,,United States,2025
Proto 3000,Printing services,,,1,Minimum,PBF-LB,Metal,,United States,2025
Proto Cafe,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Proto Cafe,Printing services,Stratasys,,1,Minimum,MJT,Polymer,,United States,2025
Proto Cafe,Printing services,3D Systems,,1,Minimum,MJT,Polymer,,United States,2025
Proto Cafe,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
Proto Cafe,Printing services,,,1,Minimum,PBF-LB,Metal,,United States,2025
ProtoCAM,Printing services,3D Systems,,4,Actual,VPP,Polymer,,United States,2022
ProtoCAM,Printing services,Carbon,,1,Actual,VPP,,,United States,2022
ProtoCAM,Printing services,HP ,MJF,3,Actual,BJT,Polymer,,United States,2022
ProtoCAM,Printing services,Stratasys,,5,Actual,MEX,,,United States,2022
ProtoCAM,Printing services,Stratasys,,1,Actual,MJT,,,United States,2022
Protolabs,Printing services,,,50,estimate,VPP,Polymer,,United States,2025
Protolabs,Printing services,Stratasys,,10,estimate,MJT,Polymer,,United States,2025
Protolabs,Printing services,HP,,30,estimate,PBF-IR,Polymer,,United States,2025
Protolabs,Printing services,,,20,estimate,PBF-LB,Polymer,,United States,2025
Protolabs,Printing services,,,10,estimate,PBF-LB,Metal,,United States,2025
Midwest Prototyping,Printing services,3D Systems,,1,Actual,PBF,Polymer,,United States,2023
Midwest Prototyping,Printing services,3D Systems,,25,Actual,VPP,Polymer,,United States,2023
Midwest Prototyping,Printing services,Carbon,,3,Actual,VPP,Polymer,,United States,2023
Midwest Prototyping,Printing services,EOS,,7,Actual,PBF-LB,Polymer,,United States,2023
Midwest Prototyping,Printing services,HP,,4,Actual,BJT,Polymer,,United States,2023
Midwest Prototyping,Printing services,Stratasys,,13,Actual,MEX,Polymer,,United States,2023
Midwest Prototyping,Printing services,Stratasys,,1,Actual,MJT,Polymer,,United States,2023
Midwest Prototyping,Printing services,Stratasys,RPS,6,Actual,VPP,Polymer,,United States,2023
Midwest Prototyping,Printing services,3D Systems,,1,Actual,PBF,Polymer,,United States,2022
Midwest Prototyping,Printing services,3D Systems,,13,Actual,VPP,Polymer,,United States,2022
Midwest Prototyping,Printing services,Carbon,,2,Actual,VPP,Polymer,,United States,2022
Midwest Prototyping,Printing services,EOS,,7,Actual,PBF,Polymer,,United States,2022
Midwest Prototyping,Printing services,HP,MJF,1,Actual,PBF-IR,Polymer,,United States,2022
Midwest Prototyping,Printing services,Stratasys,,3,Actual,MEX,Polymer,,United States,2022
Prototek Holdings,Printing services,EOS,,3,estimate,PBF-LB,Polymer,,United States,2025
Prototek Holdings,Printing services,3D Systems,,3,estimate,PBF-LB,Polymer,,United States,2025
Prototek Holdings,Printing services,HP,,3,estimate,PBF-IR,Polymer,,United States,2025
Prototek Holdings,Printing services,3D Systems,,25,estimate,VPP,Polymer,,United States,2025
Prototek Holdings,Printing services,Stratasys,,25,estimate,VPP,Polymer,,United States,2025
Prototek Holdings,Printing services,Carbon,,10,estimate,VPP,Polymer,,United States,2025
Prototek Holdings,Printing services,Axtra3D,,25,estimate,VPP,Polymer,,United States,2025
Prototek Holdings,Printing services,Stratasys,,40,estimate,MEX,Polymer,,United States,2025
Prototek Holdings,Printing services,Stratasys,,10,estimate,MJT,Polymer,,United States,2025
Prototyp3,Printing services,Proprietary,,1,Minimum,MEX,Polymer,,United states,2025
Prototyp3,Printing services,Formlabs,Form 2,1,Minimum,VPP,Polymer,,United states,2025
Prototyp3,Printing services,Phrozen,8K,1,Minimum,VPP,Polymer,,United states,2025
Prototyp3,Printing services,,,1,Minimum,MEX,Polymer,,United states,2025
Prozix,Printing services,,,1,Minimum,VPP,Polymer,,United states,2025
Prozix,Printing services,,,1,Minimum,MEX,Polymer,,United states,2025
Purple Porcupine,Printing services,,,1,Minimum,VPP,Polymer,,United states,2025
Purple Porcupine,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Purple Porcupine,Printing services,,,1,Minimum,MJT,Polymer,,United States,2025
Purple Porcupine,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,United States,2025
Purple Porcupine,Printing services,Stratasys,,1,Minimum,PBF-IR,Polymer,,United States,2025
Quadrus Corporation,Printing services,,,1,Minimum,PBF-LB,Metal,,United States,2025
Quaker City Castings,Printing services,,,1,Minimum,BJT,Sand,,United States,2025
Quickparts,Printing services,3D Systems,,5,,MJT,Polymer,,United States,2023
Quickparts,Printing services,3D Systems,,3,,PBF,Metal,,United States,2023
Quickparts,Printing services,3D Systems,,30,,PBF,Polymer,,United States,2023
Quickparts,Printing services,3D Systems,,100,,VPP,Polymer,,United States,2023
Quickparts,Printing services,3D Systems,,3,,PBF,Metal,,United States,2022
Quickparts,Printing services,3D Systems,,50,,PBF,Polymer,,United States,2022
Quickparts,Printing services,3D Systems,,120,,VPP,Polymer,,United States,2022
Quickparts,Printing services,EOS,,1,,PBF-LB,Metal,,United States,2023
Quickparts,Printing services,Nexa3D,,5,,VPP,,,United States,2023
Quickparts,Printing services,Nexa3D,,2,,VPP,,,United States,2022
Quickparts,Printing services,Roboze,,1,,MEX,,,United States,2022
Quickparts,Printing services,3D Systems,,5,Minimum,MJT,Polymer,,United States,2025
Quickparts,Printing services,EOS,,4,Minimum,PBF-LB,Metal,,United States,2025
Quickparts,Printing services,Nexa3D,,5,Minimum,VPP,Polymer,,United States,2025
Quickparts,Printing services,3D Systems,,30,Minimum,PBF-LB,Polymer,,United States,2025
Quickparts,Printing services,3D Systems,,100,Minimum,VPP,Polymer,,United States,2025
"R&D Technologies, Inc.",Printing services,Stratasys,,1,Minimum,MEX,Polymer,,United States,2025
"R&D Technologies, Inc.",Printing services,Stratasys,,1,Minimum,MJT,Polymer,,United States,2025
"R&D Technologies, Inc.",Printing services,Stratasys,P3,1,Minimum,VPP,Polymer,,United States,2025
"R&D Technologies, Inc.",Printing services,Stratasys,H350,1,Minimum,PBF-IR,Polymer,,United States,2025
Rapid Prototyping Services,Printing services,Stratasys,360mc,1,Actual,MEX,Polymer,,United States,2024
Rapid Prototyping Services,Printing services,Stratasys,360mc,1,Actual,MEX,Polymer,,United States,2024
Rapid Prototyping Services,Printing services,Stratasys,400mc,1,Actual,MEX,Polymer,,United States,2024
Rapid Prototyping Services,Printing services,Stratasys,400mc,1,Actual,MEX,Polymer,,United States,2024
Rapid Prototyping Services,Printing services,Stratasys,900mc,1,Actual,MEX,Polymer,,United States,2024
Rapid Prototyping Services,Printing services,Stratasys,900mc,1,Actual,MEX,Polymer,,United States,2024
Rapid Prototyping Services,Printing services,Stratasys,,7,Actual,MEX,Polymer,,United States,2023
Rapid Prototyping Services,Printing services,Stratasys,,7,Actual,MEX,Polymer,,United States,2022
Rapid Prototyping Services,Printing services,Stratasys,,6,Actual,MEX,Polymer,,United States,2021
RapidMade,Printing services,HP,,3,Actual,BJT,Polymer,,United States,2023
RapidMade,Printing services,Nexa3D,,1,Actual,VPP,Polymer,,United States,2023
RapidMade,Printing services,Stratasys,,1,Actual,MEX,Polymer,,United States,2023
"Realize, Inc.",Printing services,3D Systems,Viper,7,Actual,VPP,Polymer,,United States,2024
"Realize, Inc.",Printing services,3D Systems,SLA5000,2,Actual,VPP,Polymer,,United States,2024
"Realize, Inc.",Printing services,3D Systems,iPro 9000,1,Actual,VPP,Polymer,,United States,2024
"Realize, Inc.",Printing services,3D Systems,Projet 7000,1,Actual,VPP,Polymer,,United States,2024
"Realize, Inc.",Printing services,3D Systems,sPro 60HD-HS,1,Actual,PBF-LB,Polymer,,United States,2024
"Realize, Inc.",Printing services,Stratasys,Neo800,1,Actual,VPP,Polymer,,United States,2024
"Realize, Inc.",Printing services,UnionTech,RSPro800,1,Actual,VPP,Polymer,,United States,2024
"Realize, Inc.",Printing services,3D Systems,sPro 60HD-HS,1,Actual,PBF-LB,Polymer,,United States,2022
"Realize, Inc.",Printing services,3D Systems,,11,Actual,VPP,Polymer,,United States,2022
"Realize, Inc.",Printing services,Desktop Metal,,1,Actual,VPP,Polymer,,United States,2022
"Realize, Inc.",Printing services,Rize,,1,Actual,MEX,Polymer,,United States,2022
"Realize, Inc.",Printing services,Stratasys,Neo800,1,Actual,VPP,Polymer,,United States,2022
"Realize, Inc.",Printing services,Uniontech,RSPro800,1,Actual,VPP,Polymer,,United States,2022
RP+M (rapid prototype and manufacturing),Printing services,Stratasys,,5,Actual,MEX,Polymer,,United States,2021
RP+M (rapid prototype and manufacturing),Printing services,Stratasys,,5,Actual,MEX,Polymer,,Canada,2022
RP+M (rapid prototype and manufacturing),Printing services,Stratasys,,5,Actual,MEX,Polymer,,Canada,2023
RP+M (rapid prototype and manufacturing),Printing services,Stratasys,,6,Minimum,MEX,Polymer,,Canada,2025
Samcraft,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Shop 3D,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Shop 3D,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Shop 3D,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
SICAM,Printing services,3D Systems,,3,Actual,VPP,Polymer,,United States,2023
SICAM,Printing services,3D Systems,,5,Actual,VPP,Polymer,,United States,2022
SICAM,Printing services,HP,MJF,2,Actual,BJT,Polymer,,United States,2023
SICAM,Printing services,HP,MJF,1,Actual,BJT,Polymer,,0,2022
SICAM,Printing services,Stratasys,,3,Actual,MEX,Polymer,,0,2023
SICAM,Printing services,Stratasys,,4,Actual,MEX,Polymer,,0,2022
SICAM,Printing services,Uniontech,,1,Actual,VPP,Polymer,,0,2023
"Sintavia, LLC",Printing services,AMCM,M 4K,2,Actual,PBF-LB,Metal,,0,2025
"Sintavia, LLC",Printing services,Colibrium Additive,Arcam A2X,4,Actual,PBF-EB,Metal,,0,2025
"Sintavia, LLC",Printing services,Colibrium Additive,Arcam Q20+,3,Actual,PBF-EB,Metal,,0,2025
"Sintavia, LLC",Printing services,EOS,M400-4,9,Actual,PBF-LB,Metal,,0,2025
"Sintavia, LLC",Printing services,EOS,M290,5,Actual,PBF-LB,Metal,,United States,2025
"Sintavia, LLC",Printing services,EOS,M400-1,1,Actual,PBF-LB,Metal,,United States,2025
"Sintavia, LLC",Printing services,Nikon SLM,SLM 280,3,Actual,PBF-LB,Metal,,United States,2025
"Sintavia, LLC",Printing services,Trumpf,TruLaser Cell 3000,1,Actual,pDED-LB,Metal,,United States,2025
Skuld,Printing services,Creality,,7,Actual,MEX,Polymer,,Canada,2024
Skuld,Printing services,Creality,,2,Actual,MEX,Polymer,,Canada,2023
Skuld,Printing services,Bambu Lab,,2,Actual,MEX,Polymer,,Canada,2024
Skuld,Printing services,Modix,Big Meter,1,Actual,MEX,Polymer,,Canada,2024
Solaxis Ingenious Manufacturing,Printing services,Prusa,XL,7,Actual,MEX,Polymer,,Canada,2024
Solaxis Ingenious Manufacturing,Printing services,Prusa,MK4S,5,Actual,MEX,Polymer,,Canada,2024
Solaxis Ingenious Manufacturing,Printing services,Stratasys,F900,7,Actual,MEX,Polymer,,Canada,2024
Solaxis Ingenious Manufacturing,Printing services,Cincinnati,MAAM,2,Actual,MEX,Polymer,,Canada,2024
Solaxis Ingenious Manufacturing,Printing services,Farsoon,HT403P,2,Actual,PBF-LB,Polymer,,Canada,2024
Solaxis Ingenious Manufacturing,Printing services,GEARBOX 3DXTECH,HT2,1,Actual,MEX,Polymer,,Canada,2024
Solaxis Ingenious Manufacturing,Printing services,Farsoon,HT403P,2,Actual,PBF-LB,Polymer,,Canada,2022
Solaxis Ingenious Manufacturing,Printing services,HAGE3D,Precision Two,,Actual,MEX,Polymer,,Canada,2022
Solaxis Ingenious Manufacturing,Printing services,HT2,GEARBOX,,Actual,MEX,,,Canada,2022
Solaxis Ingenious Manufacturing,Printing services,MAAM Cincinnati FFF 1 cubic meter,,2,Actual,,,,United States,2022
Solaxis Ingenious Manufacturing,Printing services,MAAM Cincinnati FFF 1 cubic meter,,2,Actual,,,,United States,2022
Solaxis Ingenious Manufacturing,Printing services,Nexa3D,,,Actual,PBF,Metal,,United States,2022
Solaxis Ingenious Manufacturing,Printing services,Stratasys,,9,Actual,MEX,,,United States,2022
Solidiform,Printing services,Airwolf,,1,Actual,MEX,Polymer,,United States,2022
Solidiform,Printing services,Airwolf,,1,Minimum,MEX,Polymer,,United States,2025
Solidiform,Printing services,3D Systems,Viper,1,Actual,VPP,Polymer,,United States,2025
Solidiform,Printing services,3D Systems,SLA7000,2,Actual,VPP,Polymer,,United States,2025
"Superior Joining Technologies, Inc.",Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
"Superior Joining Technologies, Inc.",Printing services,Colibrium Additive,Mlab 100W,1,Minimum,PBF-LB,Metal,,United States,2025
"Superior Joining Technologies, Inc.",Printing services,,,1,Minimum,pDED-LB,Metal,,United States,2025
Sybridge,Printing services,HP,MJF 4200,1,Minimum,PBF-IR,Polymer,,United States,2025
Sybridge,Printing services,HP,MJF 5200,1,Minimum,PBF-IR,Polymer,,United States,2025
Sybridge,Printing services,Carbon,,1,Minimum,VPP,Polymer,,United States,2025
