Company name,Segment,Printer manufacturer,Printer model,Number of printers,Count type,Process,Material type,Material format,Country,Update year
3DChimera,Printing services,InnovatiQ,,4,Actual,,,,United States,2022
3DChimera,Printing services,Makerbot,,1,Actual,,,,United States,2022
3DChimera,Printing services,Phrozen,,1,Actual,,,,United States,2022
3DChimera,Printing services,Sintratec,,2,Actual,,,,United States,2022
3DChimera,Printing services,Stratasys,,2,Actual,MEX,,,United States,2022
3DChimera,Printing services,Bambu Lab,,1,Actual,MEX,Polymer,,United States,2023
3DChimera,Printing services,InnovatiQ,,5,Actual,,,,United States,2023
3DChimera,Printing services,Phrozen,,1,Actual,,,,United States,2023
3DChimera,Printing services,Sintratec,,2,Actual,,,,United States,2023
3DChimera,Printing services,Stratasys,,2,Actual,MEX,,,United States,2023
3DEO,Printing services,3DEO,,44,Actual,BJT,Metal,,United States,2022
3DEO,Printing services,3DEO,,29,Actual,BJT,Metal,,United States,2021
3DMakerWorld Services,Printing services,HP,MJF,1,Minimum,PBF-IR,Polymer,powder,United States,2025
3DX Industries,Printing services,ExOne,M-Flex,2,Actual,BJT,Metal,,United States,2025
3DX Industries,Printing services,Bambu Lab,X1,1,Actual,MEX,Polymer,,United States,2025
3DX Industries,Printing services,Modix,Big 60,1,Actual,MEX,Polymer,,United States,2025
3DX Industries,Printing services,Nexus,400 Pro,1,Actual,VPP,Polymer,,United States,2025
3DX Industries,Printing services,Phrozen,Mega,1,Actual,VPP,Polymer,,United States,2025
3DX Industries,Printing services,Uniformation,GK3,1,Actual,VPP,Polymer,,United States,2025
A3D,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,United States,2025
A3D,Printing services,Markforged,,1,Minimum,MEX,Polymer,,United States,2025
A3D,Printing services,Stratasys,,1,Minimum,MEX,Polymer,,United States,2025
A3D,Printing services,,,1,Minimum,PBF-LB,Polymer,,United states,2025
A3D,Printing services,Formlabs,,1,Minimum,VPP,Polymer,,United States,2025
A3D,Printing services,Stratasys,,1,Minimum,VPP,Polymer,,United States,2025
A3D,Printing services,Markforged,,1,Minimum,MEX,Metal,,United States,2025
ABC Imaging,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
ABCorp3D,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,United States,2025
ABCorp3D,Printing services,Desktop Metal,,1,Minimum,BJT,Metal,,United States,2025
Accel Digital Solutions,Printing services,HP,,1,Minimum,PBF-IR,Polymer,,United States,2025
Accel Digital Solutions,Printing services,Bambu Lab,,1,Minimum,MEX,Polymer,,United States,2025
Additive America,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
Additive America,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
Additive America,Printing services,,,1,Minimum,MJT,Polymer,,United States,2025
Additive America,Printing services,,,1,Minimum,PBF-IR,Polymer,,United States,2025
Additive America,Printing services,,,1,Minimum,PBF-LB,Polymer,,United States,2025
Additive at Scale,Printing services,Bambu Lab,,10,Actual,MEX,Polymer,,United States,2023
Additive at Scale,Printing services,Elegoo,Saturn 8k,1,Actual,VPP,Polymer,,United States,2023
Additive at Scale,Printing services,Essentium,HSE-180-HT,4,Actual,MEX,Polymer,,United States,2023
Additive at Scale,Printing services,Essentium,HSE-180-HT,3,Actual,MEX,,,United States,2022
Additive at Scale,Printing services,Flashforge (vat photopolymerization),,1,Actual,VPP,Polymer,,United States,2022
Additive Man,Printing services,Juggerbot,Tradesman P3-44,1,Minimum,MEX,Polymer,,United States,2025
Additive Manufacturing LLC,Printing services,Stratasys,Fortus,1,Minimum,MEX,Polymer,,United States,2025
Additive Manufacturing LLC,Printing services,EOS,,1,Minimum,PBF-LB,Metal,,United States,2025
