Company name,Segment,Process,Material format,Material type,Country
Mosaic Manufacturing Ltd.,System manufacturer,MEX,filament,polymer,Canada
Sethi3D,System manufacturer,MEX,filament,polymer,Brazil
Trideo,System manufacturer,MEX,filament,polymer,Argentina
Trimaker,System manufacturer,MEX,filament,polymer,Argentina
Virtual Smart Factory (VSF),System manufacturer,MEX,slurry,concrete,Australia
Virtual Smart Factory (VSF),System manufacturer,MEX,pellet,polymer,Australia
ADDICT3D,System manufacturer,MEX,pellet,polymer,Sweden
AddiFab,System manufacturer,MEX,filament,polymer,Denmark
Additive Alliance,System manufacturer,MEX,filament,polymer,United States
Afinia 3D,System manufacturer,MEX,filament,polymer,United States
AIM3D GmbH,System manufacturer,MEX,pellet,polymer,Germany
AIM3D GmbH,System manufacturer,MEX,pellet,metal,Germany
AIM3D GmbH,System manufacturer,MEX,pellet,ceramic,Germany
Airwolf 3D,System manufacturer,MEX,filament,polymer,United States
Anisoprint 3D Printing Technology Limited Company,System manufacturer,MEX,filament,polymer,Singapore
Winsun (Yingchuang),System manufacturer,MEX,paste,concrete,China
Henan Creatbot Technology Limited,System manufacturer,MEX,filament,polymer,China
"Shenzhen Adventure Technology Co., Ltd.",System manufacturer,MEX,liquid,ceramic,China
Teccluster (Teccam),System manufacturer,MEX,pellet,Polymer,Denmark
One Off Robotics,System manufacturer,MEX,,polymer,United States
"Nanjing Weibu 3D Technology Co., Ltd.",System manufacturer,MEX,,polymer,
Piocreat,System manufacturer,MEX,pellet,polymer,China
EPSON ATMIX Corporation,System manufacturer,MEX,pellet,polymer,Japan
3D Systems Inc.,System manufacturer,MJT,liquid,wax / polymer,United States
3Deus Dynamics,System manufacturer,MJT,liquid,silicone,France
ADDiTEC,System manufacturer,MJT,liquid,metal,United States
Advanced Solutions,System manufacturer,MJT,liquid,biomaterials,United States
"Zhuhai Sailner 3D Technology Co., Ltd.",System manufacturer,MJT,liquid,polymer,China
Regenovo,System manufacturer,MJT,,biomaterials,China
"Hubei Jiayi 3D Hi-Tech Co., Ltd.",System manufacturer,MJT,,biomaterials,China
Xi'an Sailong Metal,System manufacturer,PBF-EB,powder,metal,China
Xi'an Sailong Metal,System manufacturer,PBF-EB,powder,metal,China
QBEAM (QuickBeam),System manufacturer,PBF-EB,powder,metal,China
Wayland Additive,System manufacturer,PBF-EB,powder,metal,The United Kingdom
Colibrium Additive,System manufacturer,PBF-EB,powder,metal,United States
JEOL,System manufacturer,PBF-EB,powder,metal,Japan
Freemelt,System manufacturer,PBF-EB,powder,metal,Sweden
ALD Vacuum Technologies GmbH,System manufacturer,PBF-EB,powder,metal,Germany
TADA Electric Co.,System manufacturer,PBF-EB,powder,metal,Japan
pro-beam Group,System manufacturer,PBF-EB,powder,metal,Germany
2onelab GmbH,System manufacturer,PBF-LB,powder,metal,Germany
3D MicroPrint GmbH,System manufacturer,PBF-LB,powder,metal,Germany
3D Systems Inc.,System manufacturer,PBF-LB,powder,metal,United States
3D Systems Inc.,System manufacturer,PBF-LB,powder,polymer,United States
3D4MEC,System manufacturer,PBF-LB,powder,metal,Italy
3DM Digital Manufacturing Ltd,System manufacturer,PBF-LB,powder,polymer,Israel
3DSLA.RU,System manufacturer,PBF-LB,powder,metal,Russia
Aconity3D GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Additive Industries b.v.,System manufacturer,PBF-LB,powder,metal,The Netherlands
Additive Manufacturing Customized Machines (AMCM),System manufacturer,PBF-LB,powder,metal,Germany
AddUp,System manufacturer,PBF-LB,powder,metal,France
Alkimat,System manufacturer,PBF-LB,powder,polymer,Brazil
Alkimat,System manufacturer,PBF-LB,powder,metal,Brazil
AmPro Innovations,System manufacturer,PBF-LB,powder,metal,Australia
"AMSKY Technology Co., Ltd.",System manufacturer,PBF-LB,powder,metal,China
"Anhui Hart 3D Technology Co., Ltd. (HIT 3D Additive)",System manufacturer,PBF-LB,powder,,China
"Anhui Minggu Laser Intelligent Equipment Technology Co., Ltd.",System manufacturer,PBF-LB,powder,,China
"Avimetal AM Tech Co., Ltd.",System manufacturer,PBF-LB,powder,metal,China
"Beijing SANDI Technology Co.(3D Printing Technology, Inc.)",System manufacturer,PBF-LB,,wax,China
"Beijing SANDI Technology Co.(3D Printing Technology, Inc.)",System manufacturer,PBF-LB,,sand,China
"Beijing SANDI Technology Co.(3D Printing Technology, Inc.)",System manufacturer,PBF-LB,,metal,China
Omnitek,System manufacturer,PBF-LB,powder,metal,Brazil
OpenAdditive,System manufacturer,PBF-LB,powder,metal,
"Raycham (Nanjing Zhongke Yue Laser Technology Co., Ltd.)",System manufacturer,PBF-LB,powder,,China
AddiFab,System manufacturer,PBF-LB,powder,polymer,Denmark
Addizone,System manufacturer,PBF-LB,powder,metal,United States
Aditiv Solutions,System manufacturer,PBF-LB,powder,metal,South Africa
"3D Printing Technology, Inc. (3DPTEK)",System manufacturer,PBF-LB,powder,metal,China
"3D Printing Technology, Inc. (3DPTEK)",System manufacturer,PBF-LB,powder,polymer,China
"3D Printing Technology, Inc. (3DPTEK)",System manufacturer,PBF-LB,powder,sand,China
"3D Printing Technology, Inc. (3DPTEK)",System manufacturer,PBF-LB,powder,wax,China
Aixway3D GmbH,System manufacturer,PBF-LB,powder,metal,Germany
"Avimetal AM Tech Co., Ltd.",System manufacturer,PBF-LB,powder,metal,China
Beijing Longyuan Automated Fabrication System Co. Ltd. – AFS,System manufacturer,PBF-LB,powder,polymer,China
Beijing Longyuan Automated Fabrication System Co. Ltd. – AFS,System manufacturer,PBF-LB,powder,metal,China
"Suzhou Tianhong Laser Co., Ltd.",System manufacturer,PBF-LB,powder,metal,China
"Zhuhai Zongheng 3D Intelligent Technology Co.,Ltd",System manufacturer,PBF-LB,powder,polymer,China
AO Metal,System manufacturer,PBF-LB,powder,metal,United States
Xact Metal,System manufacturer,PBF-LB,powder,metal,United States
Nikon SLM Solutions,System manufacturer,PBF-LB,powder,metal,Germany
Nanogrande Inc.,System manufacturer,PBF-LB,powder,metal,Canada
Colibrium Additive,System manufacturer,PBF-LB,powder,metal,United States
3D MicroPrint GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Renishaw,System manufacturer,PBF-LB,powder,metal,The United Kingdom
Velo3D,System manufacturer,PBF-LB,powder,metal,United States
TRUMPF,System manufacturer,PBF-LB,powder,metal,Germany
Eplus3D,System manufacturer,PBF-LB,powder,metal,China
FastForm Technology Co.,System manufacturer,PBF-LB,powder,metal,China
"HBD (Shanghai Hanbang United 3D Tech Co.,Ltd.)",System manufacturer,PBF-LB,powder,metal,China
Teccluster (Teccam),System manufacturer,PBF-LB,Powder,Polymer,Denmark
Teccluster (Teccam),System manufacturer,PBF-LB,Powder,Metal,Denmark
Irpd AG,System manufacturer,PBF-LB,powder,metal,Switzerland
Farsoon,System manufacturer,PBF-LB,powder,metal,China
EOS,System manufacturer,PBF-LB,powder,metal,Germany
ALPHA LASER,System manufacturer,PBF-LB,powder,metal,Germany
Aconity3D GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Prima Additive S.r.l.,System manufacturer,PBF-LB,powder,metal,Italy
NPPower,System manufacturer,PBF-LB,powder,metal,Slovenia
XiAn Bright Laser Technologies Co Ltd (BLT),System manufacturer,PBF-LB,powder,metal,China
SamyLabs,System manufacturer,PBF-LB,powder,metal,Spain
InssTek,System manufacturer,PBF-LB,powder,metal,South Korea
One Click Metal GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Sharebot SRL,System manufacturer,PBF-LB,powder,metal,Italy
"Avimetal AM Tech Co., Ltd.",System manufacturer,PBF-LB,powder,metal,China
Aurora Labs,System manufacturer,PBF-LB,powder,metal,Australia
amace,System manufacturer,PBF-LB,powder,metal,India
LATEC,System manufacturer,PBF-LB,powder,metal,China
Kurtz Ersa GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Evobeam GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Intech Additive Solutions,System manufacturer,PBF-LB,powder,metal,India
Wiiboox,System manufacturer,PBF-LB,powder,metal,China
"Guangzhou Riton Additive Technology Co., Ltd",System manufacturer,PBF-LB,powder,metal,China
XDM,System manufacturer,PBF-LB,powder,metal,China
Veltz,System manufacturer,PBF-LB,powder,metal,South Korea
Rusatom Additive Technologies,System manufacturer,PBF-LB,powder,metal,Russia
Noura,System manufacturer,PBF-LB,powder,metal,Iran
DediBot,System manufacturer,PBF-LB,powder,metal,China
ProtoFab,System manufacturer,PBF-LB,powder,metal,China
Kolibri Metals,System manufacturer,PBF-LB,powder,metal,Germany
"Profeta Intelligent Technology Co., Ltd.",System manufacturer,PBF-LB,powder,metal,China
Sun Metalon,System manufacturer,PBF-LB,powder,metal,United States
SISMA S.p.A.,System manufacturer,PBF-LB,powder,metal,Italy
"Shenzhen Kings 3D Printing Technology Co., Ltd.",System manufacturer,PBF-LB,powder,metal,China
Additive Industries b.v.,System manufacturer,PBF-LB,powder,metal,The Netherlands
Dentas,System manufacturer,PBF-LB,powder,metal,Slovenia
Additive Laser Technologies (ALT),System manufacturer,PBF-LB,powder,metal,Ukraine
2onelab GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Aixway3D GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Seurat,System manufacturer,PBF-LB,powder,metal,United States
